"Project","SDG","Frequency","Color"
"P079032","SDG 12",1,"#BF8B2E"
"P085375","SDG 9",1,"#FD6925"
"P086592","SDG 9",1,"#FD6925"
"P088799","SDG 9",1,"#FD6925"
"P088966","SDG 9",1,"#FD6925"
"P089985","SDG 9",1,"#FD6925"
"P090990","SDG 9",1,"#FD6925"
"P092218","SDG 9",1,"#FD6925"
"P092429","SDG 9",1,"#FD6925"
"P093765","SDG 9",1,"#FD6925"
"P093775","SDG 9",1,"#FD6925"
"P096124","SDG 12",1,"#BF8B2E"
"P096481","SDG 9",1,"#FD6925"
"P096532","SDG 9",1,"#FD6925"
"P099270","SDG 9",1,"#FD6925"
"P101103","SDG 9",1,"#FD6925"
