"Project","SDG","Frequency","Color"
"P079032","SDG 9",1,"#FD6925"
"P085375","SDG 9",1,"#FD6925"
"P086592","SDG 12",1,"#BF8B2E"
"P088799","SDG 9",1,"#FD6925"
"P088966","SDG 13",1,"#3F7E44"
"P089985","SDG 12",1,"#BF8B2E"
"P090990","SDG 12",1,"#BF8B2E"
"P092218","SDG 9",1,"#FD6925"
"P092429","SDG 9",1,"#FD6925"
"P093765","SDG 9",1,"#FD6925"
"P093775","SDG 9",1,"#FD6925"
"P096124","SDG 9",1,"#FD6925"
"P096481","SDG 12",1,"#BF8B2E"
"P096532","SDG 12",1,"#BF8B2E"
"P099270","SDG 9",1,"#FD6925"
"P101103","SDG 12",1,"#BF8B2E"
